"","Date","Open","High","Low","Close","Adj.Close","Volume","Price","Price_1","Price_2","Price_3","Price_4","Price_5","SMA_5","SMA_10","SMA_50","tr","tr2","tr3","tr4","tr5"
"1186",2018-01-11,7168.72998,7211.779785,7163.22998,7211.779785,7211.779785,2009740000,7211.779785,7261.060059,7223.689941,7298.279785,7296.049805,7336.379883,7258.171875,7332.1779297,7289.62619142,7153.569824,7163.580078,7157.390137,7136.560059,7077.910156
"1185",2018-01-10,7129.830078,7154.240234,7111.52002,7153.569824,7153.569824,2122740000,7153.569824,7211.779785,7261.060059,7223.689941,7298.279785,7296.049805,7229.6758788,7306.4188965,7292.84418946,7163.580078,7157.390137,7136.560059,7077.910156,7065.529785
"1184",2018-01-09,7174.189941,7181.140137,7148.299805,7163.580078,7163.580078,0,7163.580078,7153.569824,7211.779785,7261.060059,7223.689941,7298.279785,7202.7359374,7281.27089840001,7292.7821875,7157.390137,7136.560059,7077.910156,7065.529785,7006.899902
"1183",2018-01-08,7135.379883,7161.350098,7124.089844,7157.390137,7157.390137,2051430000,7157.390137,7163.580078,7153.569824,7211.779785,7261.060059,7223.689941,7189.4759766,7250.9809082,7289.02418946,7136.560059,7077.910156,7065.529785,7006.899902,6903.390137
"1182",2018-01-05,7105.740234,7137.040039,7097.080078,7136.560059,7136.560059,2020900000,7136.560059,7157.390137,7163.580078,7153.569824,7211.779785,7261.060059,7164.5759766,7223.8339356,7284.46939454,7077.910156,7065.529785,7006.899902,6903.390137,6950.160156
"1181",2018-01-04,7089.5,7098.049805,7072.379883,7077.910156,7077.910156,2098890000,7077.910156,7136.560059,7157.390137,7163.580078,7153.569824,7211.779785,7137.8020508,7197.9869629,7279.14279298,7065.529785,7006.899902,6903.390137,6950.160156,6939.339844
"1180",2018-01-03,7017.069824,7069.149902,7016.700195,7065.529785,7065.529785,2166780000,7065.529785,7077.910156,7136.560059,7157.390137,7163.580078,7153.569824,7120.194043,7174.9349609,7270.813584,7006.899902,6903.390137,6950.160156,6939.339844,6936.25
"1179",2018-01-02,6937.649902,7006.910156,6924.080078,7006.899902,7006.899902,1914930000,7006.899902,7065.529785,7077.910156,7136.560059,7157.390137,7163.580078,7088.8580078,7145.7969726,7261.31677736,6903.390137,6950.160156,6939.339844,6936.25,6959.959961
"1178",2017-12-29,6952.609863,6954.97998,6903.390137,6903.390137,6903.390137,1571730000,6903.390137,7006.899902,7065.529785,7077.910156,7136.560059,7157.390137,7038.0580078,7113.7669922,7249.44837892,6950.160156,6939.339844,6936.25,6959.959961,6965.359863
"1177",2017-12-28,6953.379883,6954.799805,6936.75,6950.160156,6950.160156,1311320000,6950.160156,6903.390137,7006.899902,7065.529785,7077.910156,7136.560059,7000.7780272,7082.6770019,7238.23138672,6939.339844,6936.25,6959.959961,6965.359863,6960.959961
